batter,career_runs,career_sr,career_avg,career_boundary_pct,career_death_sr,seasons,consistency_cv,impact_pct,player_value_index
MP Stoinis,1866,142.01,28.71,18.34,167.41,9,1.05,23.86,62.48
KD Karthik,4843,135.28,27.67,17.51,173.41,17,0.90,27.47,62.39
M Vohra,1083,130.64,23.04,17.73,221.43,9,0.92,29.41,62.09
R Powell,360,147.54,18.95,20.08,197.41,3,1.08,22.73,62.03
MA Agarwal,2669,133.32,23.41,18.13,211.11,14,1.00,26.45,62.00
G Gambhir,4217,123.88,32.95,16.19,145.16,11,0.86,38.41,61.97
Yuvraj Singh,2754,129.78,25.74,17.30,180.84,11,0.84,28.57,61.71
CL White,971,127.76,28.56,15.00,188.08,5,1.05,33.33,61.60
AT Rayudu,4348,127.54,29.38,15.61,168.91,14,0.88,32.43,61.51
AM Rahane,4642,123.42,31.15,15.47,157.59,16,0.90,38.01,61.46
R Dravid,2174,115.52,28.99,15.78,168.07,6,0.74,39.02,61.33
M Vijay,2619,121.81,28.16,15.72,176.06,11,0.97,34.29,60.60
SP Narine,1534,165.84,18.26,28.22,128.93,13,1.44,14.15,60.36
DPMD Jayawardene,1808,123.50,30.64,16.39,159.15,6,0.96,29.49,60.30
DJ Hussey,1322,122.98,28.74,13.95,175.97,7,0.85,31.15,60.23
KK Nair,1496,127.75,24.52,17.08,177.42,9,0.93,29.41,60.22
SM Curran,883,136.48,25.23,17.16,179.66,5,0.94,16.67,60.04
TM Dilshan,1153,114.50,28.83,16.29,171.55,6,0.95,34.00,59.85
R Tewatia,1013,134.71,25.33,17.42,167.22,9,0.87,18.46,59.65
AJ Finch,2092,127.95,25.51,17.86,157.54,11,0.94,30.00,59.61
S Badrinath,1441,118.89,31.33,15.02,151.80,6,0.95,35.38,59.59
JR Hopes,417,136.27,26.06,19.61,140.00,2,0.94,21.05,59.29
CH Morris,618,155.28,22.07,19.10,167.45,8,1.27,12.24,59.19
R Parag,1173,135.14,26.07,16.59,159.41,6,1.04,24.14,58.99
