batter,season,balls_faced,runs_scored,fours,sixes,dot_balls,powerplay_runs,middle_runs,death_runs,powerplay_balls,middle_balls,death_balls,times_dismissed,matches,strike_rate,average,boundary_pct,death_strike_rate
DL Vettori,2011,28,23,1,1,13,0,3,20,0,9,19,1,4,82.14,23.00,7.14,105.26
DL Vettori,2012,26,31,3,1,9,0,24,7,0,18,8,3,6,119.23,10.33,15.38,87.50
DM Bravo,2017,5,6,1,0,2,0,0,6,0,0,5,0,1,120.00,6.00,20.00,120.00
DNT Zoysa,2007/08,9,11,1,0,3,0,1,10,0,1,8,1,2,122.22,11.00,11.11,125.00
DP Conway,2022,173,252,23,12,57,85,142,25,76,82,15,6,7,145.66,42.00,20.23,166.67
DP Conway,2023,481,672,77,18,163,307,304,61,230,210,41,13,15,139.71,51.69,19.75,148.78
DP Nannes,2009/10,13,4,0,0,9,0,2,2,0,4,9,1,2,30.77,4.00,0.00,22.22
DP Vijaykumar,2007/08,1,1,0,0,0,0,0,1,0,0,1,0,1,100.00,1.00,0.00,100.00
DPMD Jayawardene,2007/08,131,179,15,7,45,39,95,45,21,68,42,7,12,136.64,25.57,16.79,107.14
DPMD Jayawardene,2009,165,219,17,7,46,7,108,104,6,96,63,6,10,132.73,36.50,14.55,165.08
DPMD Jayawardene,2009/10,300,445,55,12,99,162,164,119,106,140,54,11,13,148.33,40.45,22.33,220.37
DPMD Jayawardene,2011,257,299,35,5,105,126,135,38,101,130,26,11,13,116.34,27.18,15.56,146.15
DPMD Jayawardene,2012,298,335,39,3,116,129,179,27,114,159,25,10,15,112.42,33.50,14.09,108.00
DPMD Jayawardene,2013,313,331,39,6,149,148,142,41,153,135,25,14,15,105.75,23.64,14.38,164.00
DR Martyn,2009/10,24,19,1,0,8,1,13,5,3,18,3,1,1,79.17,19.00,4.17,166.67
DR Sams,2020/21,2,0,0,0,2,0,0,0,0,0,2,1,1,0.00,0.00,0.00,0.00
DR Sams,2021,6,6,0,0,2,0,0,6,0,1,5,1,2,100.00,6.00,0.00,120.00
DR Sams,2022,36,38,1,3,18,1,16,21,6,13,17,7,10,105.56,5.43,11.11,123.53
DR Shorey,2018,9,8,0,1,6,0,8,0,0,9,0,1,1,88.89,8.00,11.11,0.00
DR Shorey,2019,8,5,0,0,3,0,5,0,0,8,0,1,1,62.50,5.00,0.00,0.00
DR Smith,2007/08,40,45,5,1,18,18,19,8,12,21,7,2,3,112.50,22.50,15.00,114.29
DR Smith,2009,132,215,12,15,41,36,127,52,14,83,35,8,8,162.88,26.88,20.45,148.57
DR Smith,2009/10,25,22,1,1,13,0,7,15,0,14,11,2,3,88.00,11.00,8.00,136.36
DR Smith,2012,98,157,18,7,36,65,55,37,43,33,22,4,6,160.20,39.25,25.51,168.18
DR Smith,2013,341,418,40,19,162,194,223,1,191,147,3,13,13,122.58,32.15,17.30,33.33
DR Smith,2014,416,566,50,34,188,336,197,33,258,139,19,16,16,136.06,35.38,20.19,173.68
DR Smith,2015,335,399,52,16,179,262,137,0,242,93,0,14,16,119.10,28.50,20.30,0.00
DR Smith,2016,221,324,35,16,91,184,125,15,134,78,9,11,12,146.61,29.45,23.08,166.67
DR Smith,2017,156,239,32,8,59,118,114,7,82,69,5,10,11,153.21,23.90,25.64,140.00
DS Kulkarni,2007/08,16,2,0,0,14,0,0,2,0,0,16,0,1,12.50,2.00,0.00,12.50
DS Kulkarni,2009,17,9,0,0,8,0,0,9,0,0,17,2,3,52.94,4.50,0.00,52.94
DS Kulkarni,2011,4,2,0,0,2,0,2,0,0,4,0,1,1,50.00,2.00,0.00,0.00
DS Kulkarni,2012,5,10,2,0,1,0,0,10,0,0,5,0,1,200.00,10.00,40.00,200.00
DS Kulkarni,2014,25,35,1,2,6,0,1,34,0,3,22,0,2,140.00,35.00,12.00,154.55
DS Kulkarni,2015,11,4,0,0,7,0,0,4,0,0,11,2,2,36.36,2.00,0.00,36.36
DS Kulkarni,2016,16,27,3,0,4,0,2,25,0,3,13,2,5,168.75,13.50,18.75,192.31
DS Kulkarni,2017,2,1,0,0,1,0,0,1,0,0,2,1,1,50.00,1.00,0.00,50.00
DS Kulkarni,2018,7,6,0,0,1,0,0,6,0,0,7,0,2,85.71,6.00,0.00,85.71
DS Kulkarni,2019,3,5,1,0,1,0,0,5,0,0,3,0,1,166.67,5.00,33.33,166.67
DS Kulkarni,2020/21,2,3,0,0,0,0,0,3,0,0,2,0,1,150.00,3.00,0.00,150.00
DS Lehmann,2007/08,18,18,3,0,9,4,14,0,3,15,0,2,2,100.00,9.00,16.67,0.00
DT Christian,2011,159,190,9,7,49,0,70,120,0,72,87,10,13,119.50,19.00,10.06,137.93
DT Christian,2012,118,145,8,6,33,2,67,76,4,67,47,5,7,122.88,29.00,11.86,161.70
DT Christian,2013,15,6,0,0,10,0,4,2,0,13,2,2,2,40.00,3.00,0.00,100.00
DT Christian,2017,49,79,5,5,17,0,0,79,0,0,49,5,9,161.22,15.80,20.41,161.22
DT Christian,2018,33,26,0,1,12,0,6,20,0,11,22,1,3,78.79,26.00,3.03,90.91
DT Christian,2021,24,14,1,0,13,1,1,12,4,4,16,4,7,58.33,3.50,4.17,75.00
DT Patil,2007/08,13,13,1,0,5,0,9,4,0,12,1,1,2,100.00,13.00,7.69,400.00
DW Steyn,2007/08,5,2,0,0,3,0,0,2,0,0,5,1,2,40.00,2.00,0.00,40.00
DW Steyn,2009,3,0,0,0,3,0,0,0,0,3,0,1,1,0.00,0.00,0.00,0.00
DW Steyn,2009/10,17,13,2,0,10,0,0,13,0,0,17,4,4,76.47,3.25,11.76,76.47
DW Steyn,2011,35,36,3,0,13,0,0,36,0,0,35,3,5,102.86,12.00,8.57,102.86
DW Steyn,2012,21,19,0,1,11,0,2,17,0,3,18,5,5,90.48,3.80,4.76,94.44
DW Steyn,2013,36,53,5,2,14,0,0,53,0,0,36,2,8,147.22,26.50,19.44,147.22
DW Steyn,2014,26,22,1,0,10,0,2,20,0,3,23,2,3,84.62,11.00,3.85,86.96
DW Steyn,2015,13,20,3,0,3,0,0,20,0,0,13,1,3,153.85,20.00,23.08,153.85
DW Steyn,2016,2,1,0,0,1,0,0,1,0,0,2,1,1,50.00,1.00,0.00,50.00
DW Steyn,2020/21,2,1,0,0,1,0,0,1,0,0,2,0,1,50.00,1.00,0.00,50.00
E Lewis,2018,276,382,32,24,124,248,132,2,167,105,4,13,13,138.41,29.38,20.29,50.00
E Lewis,2019,52,48,4,2,28,27,21,0,28,24,0,3,3,92.31,16.00,11.54,0.00
E Lewis,2021,93,151,18,7,35,134,17,0,77,16,0,5,5,162.37,30.20,26.88,0.00
E Lewis,2022,56,73,8,3,25,11,32,30,14,25,17,3,5,130.36,24.33,19.64,176.47
EJG Morgan,2009/10,30,35,2,1,9,0,27,8,0,20,10,3,4,116.67,11.67,10.00,80.00
EJG Morgan,2011,117,137,17,3,55,64,44,29,56,36,25,8,9,117.09,17.13,17.09,116.00
EJG Morgan,2013,240,307,28,13,102,14,174,119,16,153,71,10,13,127.92,30.70,17.08,167.61
EJG Morgan,2015,151,187,11,11,63,18,103,66,33,82,36,8,9,123.84,23.38,14.57,183.33
EJG Morgan,2016,105,123,8,4,38,7,59,57,11,58,36,5,6,117.14,24.60,11.43,158.33
EJG Morgan,2017,62,65,6,2,25,23,42,0,22,40,0,4,4,104.84,16.25,12.90,0.00
EJG Morgan,2020/21,304,419,32,24,119,27,193,199,32,174,98,10,14,137.83,41.90,18.42,203.06
EJG Morgan,2021,139,133,8,6,67,23,72,38,22,79,38,11,15,95.68,12.09,10.07,100.00
ER Dwivedi,2016,14,24,2,2,6,5,0,19,5,0,9,2,2,171.43,12.00,28.57,211.11
F Behardien,2016,13,14,2,0,5,0,0,14,0,1,12,2,3,107.69,7.00,15.38,116.67
F du Plessis,2012,304,398,29,17,105,232,155,11,162,128,14,10,12,130.92,39.80,15.13,78.57
F du Plessis,2014,235,303,26,7,67,86,139,78,52,136,47,9,12,128.94,33.67,14.04,165.96
F du Plessis,2015,304,380,37,5,91,96,236,48,67,201,36,11,15,125.00,34.55,13.82,133.33
F du Plessis,2016,162,206,17,9,63,86,93,27,69,79,14,6,6,127.16,34.33,16.05,192.86
F du Plessis,2017,7,8,1,0,2,7,1,0,4,3,0,1,1,114.29,8.00,14.29,0.00
F du Plessis,2018,129,162,17,6,56,87,46,29,76,42,11,5,6,125.58,32.40,17.83,263.64
F du Plessis,2019,321,396,36,15,125,199,149,48,177,124,20,11,12,123.36,36.00,15.89,240.00
F du Plessis,2020/21,319,449,42,14,99,189,170,90,139,140,40,10,13,140.75,44.90,17.55,225.00
F du Plessis,2021,458,633,61,23,152,297,238,98,218,186,54,14,16,138.21,45.21,18.34,181.48
F du Plessis,2022,367,468,49,13,145,201,194,73,192,135,40,15,16,127.52,31.20,16.89,182.50
F du Plessis,2023,475,730,60,36,131,359,308,63,213,228,34,13,14,153.68,56.15,20.21,185.29
F du Plessis,2024,271,438,47,21,97,309,126,3,194,73,4,14,15,161.62,31.29,25.09,75.00
FA Allen,2021,12,6,0,0,6,0,3,3,0,6,6,1,2,50.00,6.00,0.00,50.00
FA Allen,2022,7,8,1,0,3,0,0,8,0,0,7,1,1,114.29,8.00,14.29,114.29
Fazalhaq Farooqi,2022,8,2,0,0,6,0,0,2,0,0,8,0,1,25.00,2.00,0.00,25.00
Fazalhaq Farooqi,2023,5,1,0,0,4,0,0,1,0,0,5,0,1,20.00,1.00,0.00,20.00
FH Edwards,2009,5,4,0,0,3,0,0,4,0,0,5,1,2,80.00,4.00,0.00,80.00
FY Fazal,2009/10,154,164,19,1,57,58,68,38,61,61,32,8,9,106.49,20.50,12.99,118.75
FY Fazal,2011,19,19,3,0,10,18,1,0,18,1,0,1,2,100.00,19.00,15.79,0.00
G Coetzee,2024,22,14,0,1,13,0,3,11,0,4,18,4,5,63.64,3.50,4.55,61.11
G Gambhir,2007/08,379,534,68,8,119,300,210,24,216,147,16,13,14,140.90,41.08,20.05,150.00
G Gambhir,2009,278,286,32,2,123,197,64,25,192,71,15,13,15,102.88,22.00,12.23,166.67
G Gambhir,2009/10,217,277,32,2,75,117,117,43,90,99,28,8,10,127.65,34.63,15.67,153.57
G Gambhir,2011,317,378,44,3,110,123,217,38,117,167,33,11,15,119.24,34.36,14.83,115.15
G Gambhir,2012,411,590,64,17,131,360,189,41,230,153,28,14,17,143.55,42.14,19.71,146.43
G Gambhir,2013,343,406,51,5,144,267,132,7,206,133,4,15,15,118.37,27.07,16.33,175.00
G Gambhir,2014,293,335,36,4,116,167,139,29,165,110,18,14,16,114.33,23.93,13.65,161.11
G Gambhir,2015,278,327,41,4,110,184,138,5,163,109,6,13,13,117.63,25.15,16.19,83.33
G Gambhir,2016,411,501,54,6,136,223,241,37,201,189,21,11,15,121.90,45.55,14.60,176.19
G Gambhir,2017,389,498,62,7,135,275,202,21,220,152,17,12,16,128.02,41.50,17.74,123.53
G Gambhir,2018,88,85,8,1,36,64,21,0,68,20,0,4,5,96.59,21.25,10.23,0.00
GB Hogg,2012,16,15,1,0,5,0,0,15,0,0,16,2,2,93.75,7.50,6.25,93.75
GB Hogg,2015,6,7,0,0,0,0,0,7,0,0,6,0,2,116.67,7.00,0.00,116.67
GC Smith,2007/08,362,441,54,8,145,181,204,56,176,155,31,9,11,121.82,49.00,17.13,180.65
GC Smith,2009,216,212,27,1,100,111,91,10,129,78,9,11,12,98.15,19.27,12.96,111.11
GC Smith,2009/10,39,44,7,0,19,43,1,0,34,5,0,2,2,112.82,22.00,17.95,0.00
GC Smith,2011,51,42,6,0,31,39,3,0,48,3,0,4,4,82.35,10.50,11.76,0.00
GC Viljoen,2019,7,3,0,0,5,0,0,3,0,0,7,2,3,42.86,1.50,0.00,42.86
GD McGrath,2007/08,5,4,1,0,4,0,0,4,0,0,5,1,2,80.00,4.00,20.00,80.00
GD Phillips,2021,33,26,1,2,21,0,12,14,7,18,8,2,3,78.79,13.00,9.09,175.00
GD Phillips,2023,22,39,2,4,10,0,8,31,0,7,15,5,5,177.27,7.80,27.27,206.67
GH Vihari,2013,278,241,17,1,117,50,139,52,82,149,47,13,17,86.69,18.54,6.47,110.64
GH Vihari,2015,35,39,6,0,15,9,6,24,8,12,15,4,4,111.43,9.75,17.14,160.00
GH Vihari,2019,8,4,0,0,4,0,0,4,0,0,8,2,2,50.00,2.00,0.00,50.00
GHS Garton,2021,4,2,0,0,2,0,0,2,0,0,4,1,2,50.00,2.00,0.00,50.00
GJ Bailey,2009,39,45,7,0,17,36,9,0,29,10,0,2,2,115.38,22.50,17.95,0.00
GJ Bailey,2009/10,27,18,2,0,16,7,11,0,14,13,0,1,1,66.67,18.00,7.41,0.00
GJ Bailey,2014,190,257,19,10,60,1,48,208,2,68,120,9,16,135.26,28.56,15.26,173.33
GJ Bailey,2015,190,259,22,7,52,56,84,119,39,86,65,10,12,136.32,25.90,15.26,183.08
GJ Bailey,2016,98,84,9,2,53,31,53,0,44,52,2,4,5,85.71,21.00,11.22,0.00
GJ Maxwell,2012,11,6,0,0,6,0,6,0,0,11,0,1,2,54.55,6.00,0.00,0.00
GJ Maxwell,2013,27,36,1,4,15,23,0,13,20,0,7,2,3,133.33,18.00,18.52,185.71
GJ Maxwell,2014,294,552,48,36,88,69,426,57,41,225,28,16,16,187.76,34.50,28.57,203.57
GJ Maxwell,2015,113,146,13,8,53,48,76,22,41,61,11,11,11,129.20,13.27,18.58,200.00
GJ Maxwell,2016,124,179,14,8,43,18,106,55,15,76,33,9,10,144.35,19.89,17.74,166.67
GJ Maxwell,2017,179,310,20,26,65,11,251,48,18,136,25,10,13,173.18,31.00,25.70,192.00
GJ Maxwell,2018,120,169,14,9,48,62,67,40,49,40,31,10,12,140.83,16.90,19.17,129.03
GJ Maxwell,2020/21,106,108,9,0,37,2,59,47,2,72,32,7,11,101.89,15.43,8.49,146.88
GJ Maxwell,2021,356,513,48,21,117,39,331,143,28,242,86,11,14,144.10,46.64,19.38,166.28
GJ Maxwell,2022,178,301,31,15,60,78,133,90,46,90,42,10,13,169.10,30.10,25.84,214.29
GJ Maxwell,2023,218,400,29,31,72,83,249,68,46,141,31,12,14,183.49,33.33,27.52,219.35
GJ Maxwell,2024,43,52,6,2,21,0,36,16,3,35,5,9,9,120.93,5.78,18.60,320.00
GR Napier,2009,16,15,1,0,7,0,10,5,0,12,4,1,1,93.75,15.00,6.25,125.00
Gulbadin Naib,2024,15,19,1,1,4,0,4,15,0,5,10,1,1,126.67,19.00,13.33,150.00
Gurkeerat Singh,2012,52,86,12,2,15,0,23,63,0,24,28,3,4,165.38,28.67,26.92,225.00
Gurkeerat Singh,2013,95,108,10,3,40,16,50,42,20,48,27,8,9,113.68,13.50,13.68,155.56
Gurkeerat Singh,2015,39,35,3,1,18,5,17,13,4,21,14,5,5,89.74,7.00,10.26,92.86
Gurkeerat Singh,2016,86,113,11,3,26,1,63,49,3,53,30,5,6,131.40,22.60,16.28,163.33
Gurkeerat Singh,2019,70,98,11,2,19,13,43,42,10,37,23,3,3,140.00,32.67,18.57,182.61
Gurkeerat Singh,2020/21,80,71,8,0,38,0,29,42,0,40,40,0,5,88.75,71.00,10.00,105.00
H Das,2007/08,5,2,0,0,3,0,0,2,0,0,5,1,1,40.00,2.00,0.00,40.00
H Klaasen,2018,47,57,5,1,16,7,5,45,7,9,31,3,4,121.28,19.00,12.77,145.16
H Klaasen,2019,10,9,0,0,2,6,3,0,7,3,0,2,2,90.00,4.50,0.00,0.00
H Klaasen,2023,253,448,32,25,49,36,249,163,18,148,87,9,11,177.08,49.78,22.53,187.36
H Klaasen,2024,280,479,19,38,76,13,271,195,8,181,91,12,15,171.07,39.92,20.36,214.29
Harbhajan Singh,2007/08,17,30,1,3,6,0,0,30,0,1,16,2,3,176.47,15.00,23.53,187.50
Harbhajan Singh,2009,53,84,6,5,17,6,18,60,7,8,38,8,10,158.49,10.50,20.75,157.89
Harbhajan Singh,2009/10,63,105,12,5,22,0,1,104,0,6,57,5,7,166.67,21.00,26.98,182.46
Harbhajan Singh,2011,71,103,9,6,30,40,15,48,29,14,28,3,8,145.07,34.33,21.13,171.43
Harbhajan Singh,2012,80,108,14,3,32,0,29,79,0,20,60,9,11,135.00,12.00,21.25,131.67
Harbhajan Singh,2013,79,116,12,5,27,0,5,111,0,11,68,4,13,146.84,29.00,21.52,163.24
Harbhajan Singh,2014,25,28,2,2,14,0,0,28,0,0,25,6,7,112.00,4.67,16.00,112.00
Harbhajan Singh,2015,73,117,9,9,33,11,32,74,10,20,43,7,9,160.27,16.71,24.66,172.09
Harbhajan Singh,2016,84,92,11,2,40,0,25,67,0,39,45,3,7,109.52,30.67,15.48,148.89
Harbhajan Singh,2017,16,16,0,1,6,0,0,16,0,0,16,1,7,100.00,16.00,6.25,100.00
Harbhajan Singh,2018,36,29,3,1,21,5,22,2,5,22,9,2,3,80.56,14.50,11.11,22.22
Harbhajan Singh,2019,3,1,0,0,2,0,0,1,0,0,3,1,1,33.33,1.00,0.00,33.33
Harbhajan Singh,2021,4,4,0,0,1,0,0,4,0,0,4,0,2,100.00,4.00,0.00,100.00
Harmeet Singh,2009/10,1,0,0,0,1,0,0,0,0,0,1,1,1,0.00,0.00,0.00,0.00
Harmeet Singh,2012,7,15,3,0,2,0,0,15,0,0,7,1,2,214.29,15.00,42.86,214.29
Harmeet Singh,2013,4,3,0,0,2,0,0,3,0,0,4,0,1,75.00,3.00,0.00,75.00
Harpreet Brar,2019,12,20,2,1,3,0,0,20,0,0,12,0,1,166.67,20.00,25.00,166.67
Harpreet Brar,2021,58,64,3,2,22,0,2,62,0,3,55,0,5,110.34,64.00,8.62,112.73
Harpreet Brar,2022,25,22,1,2,16,0,15,7,0,20,5,3,3,88.00,7.33,12.00,140.00
Harpreet Brar,2023,41,52,5,2,14,0,8,44,0,10,31,6,8,126.83,8.67,17.07,141.94
Harpreet Brar,2024,54,75,8,2,19,0,11,64,0,10,44,2,7,138.89,37.50,18.52,145.45
Harpreet Singh,2011,20,14,0,0,7,0,6,8,0,10,10,1,2,70.00,14.00,0.00,80.00
Harpreet Singh,2012,6,6,0,0,1,0,0,6,0,0,6,1,1,100.00,6.00,0.00,100.00
Harpreet Singh,2023,59,76,8,3,25,18,33,25,16,35,8,2,3,128.81,38.00,18.64,312.50
Harpreet Singh,2024,34,27,2,0,16,12,4,11,13,7,14,2,2,79.41,13.50,5.88,78.57
Harshit Rana,2022,2,2,0,0,1,0,2,0,0,1,1,1,2,100.00,2.00,0.00,0.00
Harshit Rana,2023,1,0,0,0,1,0,0,0,0,0,1,1,1,0.00,0.00,0.00,0.00
HC Brook,2023,154,190,23,4,65,96,58,36,84,45,25,9,11,123.38,21.11,17.53,144.00
HE van der Dussen,2022,24,22,2,0,11,0,10,12,0,14,10,2,3,91.67,11.00,8.33,120.00
HF Gurney,2019,5,1,0,0,4,0,0,1,0,0,5,0,1,20.00,1.00,0.00,20.00
HH Gibbs,2007/08,153,167,17,8,84,98,69,0,98,55,0,9,9,109.15,18.56,16.34,0.00
HH Gibbs,2009,331,371,32,12,141,172,152,47,154,150,27,11,14,112.08,33.73,13.29,174.07
HH Gibbs,2009/10,235,267,26,9,105,138,122,7,113,116,6,9,10,113.62,29.67,14.89,116.67
HH Gibbs,2012,88,81,8,2,48,39,24,18,51,24,13,2,3,92.05,40.50,11.36,138.46
HH Pandya,2015,62,112,9,8,19,5,12,95,8,11,43,5,8,180.65,22.40,27.42,220.93
HH Pandya,2016,63,44,4,0,33,13,14,17,25,18,20,7,9,69.84,6.29,6.35,85.00
HH Pandya,2017,160,250,11,20,53,0,74,176,0,61,99,7,16,156.25,35.71,19.38,177.78
HH Pandya,2018,195,260,20,11,64,0,114,146,0,90,105,9,13,133.33,28.89,15.90,139.05
HH Pandya,2019,212,409,28,30,58,7,105,297,2,59,151,9,15,192.92,45.44,27.36,196.69
HH Pandya,2020/21,160,283,14,25,51,2,62,219,3,46,111,8,13,176.88,35.38,24.38,197.30
HH Pandya,2021,112,127,11,5,50,1,45,81,3,53,56,9,11,113.39,14.11,14.29,144.64
HH Pandya,2022,371,487,49,12,119,65,317,105,64,232,75,9,15,131.27,54.11,16.44,140.00
HH Pandya,2023,253,346,26,15,79,60,182,104,58,135,60,11,15,136.76,31.45,16.21,173.33
HH Pandya,2024,151,216,17,11,53,16,150,50,10,107,34,12,13,143.05,18.00,18.54,147.06
HM Amla,2016,119,157,20,4,46,86,39,32,73,30,16,6,6,131.93,26.17,20.17,200.00
HM Amla,2017,288,420,40,17,93,175,155,90,126,126,36,7,10,145.83,60.00,19.79,250.00
HR Shokeen,2022,48,43,5,0,25,1,42,0,5,43,0,2,2,89.58,21.50,10.42,0.00
HR Shokeen,2023,17,23,4,0,6,0,0,23,0,0,17,1,3,135.29,23.00,23.53,135.29
HV Patel,2012,15,15,1,0,3,0,2,13,0,3,12,2,3,100.00,7.50,6.67,108.33
HV Patel,2014,7,13,1,1,3,0,0,13,0,0,7,2,3,185.71,6.50,28.57,185.71
HV Patel,2015,12,19,0,2,5,0,0,19,0,0,12,4,6,158.33,4.75,16.67,158.33
HV Patel,2018,33,60,1,6,6,0,25,35,0,18,15,0,2,181.82,60.00,21.21,233.33
HV Patel,2019,2,0,0,0,2,0,0,0,0,0,2,1,1,0.00,0.00,0.00,0.00
HV Patel,2020/21,24,21,2,0,12,0,10,11,0,14,10,2,2,87.50,10.50,8.33,110.00
HV Patel,2021,46,59,6,2,19,0,7,52,0,12,34,4,7,128.26,14.75,17.39,152.94
HV Patel,2022,39,43,4,2,19,0,4,39,0,9,30,4,7,110.26,10.75,15.38,130.00
HV Patel,2023,6,6,0,1,5,0,6,0,0,6,0,2,2,100.00,3.00,16.67,0.00
HV Patel,2024,19,13,1,1,14,0,12,1,0,13,6,3,4,68.42,4.33,10.53,16.67
I Malhotra,2011,4,7,1,0,0,0,0,7,0,0,4,0,1,175.00,7.00,25.00,175.00
I Sharma,2007/08,11,11,1,0,5,0,4,7,0,5,6,1,5,100.00,11.00,9.09,116.67
I Sharma,2009,13,16,1,1,6,0,6,10,0,3,10,2,3,123.08,8.00,15.38,100.00
I Sharma,2009/10,17,6,0,0,11,0,1,5,0,2,15,1,2,35.29,6.00,0.00,33.33
I Sharma,2011,5,4,0,0,1,0,0,4,0,0,5,0,4,80.00,4.00,0.00,80.00
I Sharma,2017,12,8,1,0,7,0,1,7,0,4,8,2,3,66.67,4.00,8.33,87.50
I Sharma,2019,3,10,1,1,1,0,0,10,0,0,3,0,1,333.33,10.00,66.67,333.33
I Sharma,2023,1,1,0,0,0,0,0,1,0,0,1,0,1,100.00,1.00,0.00,100.00
I Sharma,2024,7,1,0,0,6,0,0,1,0,0,7,0,2,14.29,1.00,0.00,14.29
I Udana,2020/21,11,15,1,1,4,0,0,15,0,0,11,3,4,136.36,5.00,18.18,136.36
IC Pandey,2013,2,0,0,0,2,0,0,0,0,0,2,1,1,0.00,0.00,0.00,0.00
IK Pathan,2007/08,116,131,9,6,52,7,26,98,4,44,68,5,10,112.93,26.20,12.93,144.12
IK Pathan,2009,158,196,17,6,61,32,71,93,19,69,70,10,12,124.05,19.60,14.56,132.86
IK Pathan,2009/10,186,276,21,10,45,41,84,151,35,74,77,7,13,148.39,39.43,16.67,196.10
IK Pathan,2011,138,150,12,6,57,0,49,101,0,75,63,7,12,108.70,21.43,13.04,160.32
IK Pathan,2012,126,176,14,6,35,0,84,92,0,67,59,7,12,139.68,25.14,15.87,155.93
IK Pathan,2013,156,153,10,4,62,12,57,84,11,76,69,8,13,98.08,19.13,8.97,121.74
IK Pathan,2014,54,55,5,0,20,0,13,42,0,19,35,2,6,101.85,27.50,9.26,120.00
IK Pathan,2016,13,11,0,0,3,0,9,2,0,11,2,2,3,84.62,5.50,0.00,100.00
IK Pathan,2017,3,2,0,0,1,0,2,0,0,2,1,1,1,66.67,2.00,0.00,0.00
Imran Tahir,2014,10,8,2,0,8,0,4,4,0,6,4,2,2,80.00,4.00,20.00,100.00
Imran Tahir,2015,6,5,0,0,2,0,0,5,0,0,6,1,2,83.33,5.00,0.00,83.33
Imran Tahir,2016,7,5,1,0,5,0,0,5,0,0,7,1,1,71.43,5.00,14.29,71.43
Imran Tahir,2017,2,0,0,0,2,0,0,0,0,0,2,0,1,0.00,0.00,0.00,0.00
Imran Tahir,2018,2,2,0,0,0,0,0,2,0,0,2,0,1,100.00,2.00,0.00,100.00
Imran Tahir,2020/21,10,13,2,0,4,0,0,13,0,0,10,0,1,130.00,13.00,20.00,130.00
Iqbal Abdulla,2007/08,2,1,0,0,1,0,0,1,0,0,2,0,1,50.00,1.00,0.00,50.00
Iqbal Abdulla,2009/10,1,0,0,0,1,0,0,0,0,0,1,0,1,0.00,0.00,0.00,0.00
Iqbal Abdulla,2011,12,15,1,0,3,0,0,15,0,0,12,0,2,125.00,15.00,8.33,125.00
Iqbal Abdulla,2012,3,2,0,0,1,0,1,1,0,1,2,0,2,66.67,2.00,0.00,50.00
Iqbal Abdulla,2013,14,8,0,0,6,0,2,6,0,3,11,0,2,57.14,8.00,0.00,54.55
Iqbal Abdulla,2015,18,20,4,0,9,0,4,16,0,4,14,1,2,111.11,20.00,22.22,114.29
Iqbal Abdulla,2016,27,37,4,1,9,0,11,26,0,17,10,0,2,137.04,37.00,18.52,260.00
Iqbal Abdulla,2017,7,5,0,0,3,0,0,5,0,0,7,0,1,71.43,5.00,0.00,71.43
IR Jaggi,2011,37,28,3,0,21,19,9,0,24,13,0,2,2,75.68,14.00,8.11,0.00
IR Jaggi,2012,21,15,0,0,9,1,1,13,1,6,14,2,3,71.43,7.50,0.00,92.86
IR Jaggi,2017,39,33,3,0,18,5,28,0,12,27,0,1,2,84.62,33.00,7.69,0.00
IS Sodhi,2018,6,1,0,0,5,0,0,1,0,1,5,1,1,16.67,1.00,0.00,20.00
IS Sodhi,2019,11,6,0,0,5,0,2,4,0,6,5,1,1,54.55,6.00,0.00,80.00
Ishan Kishan,2016,41,42,5,0,17,0,29,13,0,27,14,4,5,102.44,10.50,12.20,92.86
Ishan Kishan,2017,206,277,29,13,87,160,69,48,110,71,25,10,10,134.47,27.70,20.39,192.00
Ishan Kishan,2018,184,275,22,17,74,56,211,8,61,119,4,12,12,149.46,22.92,21.20,200.00
Ishan Kishan,2019,100,101,8,4,46,13,83,5,15,82,3,5,6,101.00,20.20,12.00,166.67
Ishan Kishan,2020/21,354,516,36,30,112,136,273,107,114,194,46,9,13,145.76,57.33,18.64,232.61
Ishan Kishan,2021,180,241,21,10,64,89,122,30,51,105,24,9,10,133.89,26.78,17.22,125.00
Ishan Kishan,2022,348,418,45,11,140,225,157,36,200,131,17,13,14,120.11,32.15,16.09,211.76
Ishan Kishan,2023,318,454,54,18,130,333,120,1,230,86,2,15,15,142.77,30.27,22.64,50.00
Ishan Kishan,2024,215,320,35,16,87,239,74,7,148,61,6,14,14,148.84,22.86,23.72,116.67
J Arunkumar,2007/08,23,23,5,0,15,23,0,0,23,0,0,3,3,100.00,7.67,21.74,0.00
J Botha,2009,40,47,5,0,13,11,30,6,13,22,5,2,3,117.50,23.50,12.50,120.00
J Botha,2011,198,230,20,2,64,9,150,71,16,127,55,5,9,116.16,46.00,11.11,129.09
J Botha,2012,54,58,4,1,19,0,10,48,0,16,38,4,7,107.41,14.50,9.26,126.32
J Botha,2013,52,43,5,1,33,25,15,3,23,19,10,6,6,82.69,7.17,11.54,30.00
J Botha,2015,15,31,5,1,4,0,0,31,0,0,15,3,3,206.67,10.33,40.00,206.67
J Fraser-McGurk,2024,141,330,32,28,51,266,64,0,106,35,0,8,9,234.04,41.25,42.55,0.00
J Suchith,2015,32,48,4,2,11,0,6,42,0,10,22,1,5,150.00,48.00,18.75,190.91
