batter,season,balls_faced,runs_scored,fours,sixes,dot_balls,powerplay_runs,middle_runs,death_runs,powerplay_balls,middle_balls,death_balls,times_dismissed,matches,strike_rate,average,boundary_pct,death_strike_rate
AM Rahane,2014,291,339,38,3,114,194,100,45,170,94,27,10,12,116.49,33.90,14.09,166.67
AM Rahane,2015,413,540,53,13,139,255,213,72,195,171,47,11,13,130.75,49.09,15.98,153.19
AM Rahane,2016,379,480,54,9,132,215,225,40,191,164,24,10,14,126.65,48.00,16.62,166.67
AM Rahane,2017,323,382,35,9,114,247,135,0,207,116,0,15,16,118.27,25.47,13.62,0.00
AM Rahane,2018,313,370,39,5,104,228,121,21,179,118,16,13,14,118.21,28.46,14.06,131.25
AM Rahane,2019,285,393,45,9,101,234,125,34,172,88,25,12,13,137.89,32.75,18.95,136.00
AM Rahane,2020/21,107,113,12,2,47,70,33,10,73,25,9,8,8,105.61,14.13,13.08,111.11
AM Rahane,2021,8,8,1,0,4,8,0,0,8,0,0,1,1,100.00,8.00,12.50,0.00
AM Rahane,2022,128,133,14,4,62,92,41,0,95,33,0,7,7,103.91,19.00,14.06,0.00
AM Rahane,2023,189,326,24,16,38,125,167,34,60,119,10,10,11,172.49,32.60,21.16,340.00
AM Rahane,2024,196,242,24,7,76,145,97,0,114,82,0,12,12,123.47,20.17,15.82,0.00
Aman Hakim Khan,2022,3,5,1,0,1,0,0,5,0,0,3,1,1,166.67,5.00,33.33,166.67
Aman Hakim Khan,2023,101,110,7,6,49,4,52,54,5,58,38,8,9,108.91,13.75,12.87,142.11
AN Ahmed,2009/10,7,4,0,0,4,0,0,4,0,0,7,0,1,57.14,4.00,0.00,57.14
AN Ahmed,2011,13,18,1,1,5,0,0,18,0,0,13,0,1,138.46,18.00,15.38,138.46
AN Ahmed,2014,1,4,1,0,0,0,0,4,0,0,1,0,1,400.00,4.00,100.00,400.00
AN Ahmed,2015,5,10,2,0,1,0,0,10,0,0,5,1,3,200.00,10.00,40.00,200.00
