bowler,season,balls_bowled,runs_conceded,wickets,dot_balls,powerplay_wickets,middle_wickets,death_wickets,death_runs_conceded,death_balls,matches,economy,bowling_average,bowling_sr,death_economy
S Narwal,2013,12,17,0,6,0,0,0,0,0,1,8.50,0.00,0.00,0.00
S Rana,2011,4,2,0,2,0,0,0,2,4,1,3.00,0.00,0.00,3.00
S Rana,2014,12,16,0,3,0,0,0,0,0,2,8.00,0.00,0.00,0.00
S Randiv,2011,174,223,8,60,0,5,3,27,18,8,7.69,27.88,21.75,9.00
S Sandeep Warrier,2019,72,86,2,29,2,0,0,0,0,3,7.17,43.00,36.00,0.00
S Sandeep Warrier,2020/21,18,34,0,8,0,0,0,0,0,1,11.33,0.00,0.00,0.00
S Sandeep Warrier,2021,12,15,0,6,0,0,0,0,0,1,7.50,0.00,0.00,0.00
S Sandeep Warrier,2024,66,122,6,29,6,0,0,0,0,5,11.09,20.33,11.00,0.00
S Sreesanth,2007/08,307,451,19,132,13,0,6,96,61,15,8.81,23.74,16.16,9.44
S Sreesanth,2009,138,196,6,62,1,4,1,65,18,7,8.52,32.67,23.00,21.67
S Sreesanth,2009/10,114,191,5,44,4,0,1,17,12,6,10.05,38.20,22.80,8.50
S Sreesanth,2011,191,212,7,94,7,0,0,49,29,9,6.66,30.29,27.29,10.14
S Sreesanth,2013,130,171,6,67,4,1,1,29,16,7,7.89,28.50,21.67,10.88
S Sriram,2009/10,12,24,0,2,0,0,0,0,0,1,12.00,0.00,0.00,0.00
S Sriram,2011,6,25,0,0,0,0,0,0,0,1,25.00,0.00,0.00,0.00
S Tyagi,2009,114,143,5,59,5,0,0,0,0,8,7.53,28.60,22.80,0.00
S Tyagi,2009/10,95,161,1,34,0,1,0,32,11,6,10.17,161.00,95.00,17.45
S Vidyut,2007/08,12,22,1,5,0,1,0,0,0,1,11.00,22.00,12.00,0.00
SA Abbott,2015,30,57,0,6,0,0,0,0,0,2,11.40,0.00,0.00,0.00
SA Abbott,2022,24,47,1,7,1,0,0,18,6,1,11.75,47.00,24.00,18.00
SA Yadav,2014,6,8,0,2,0,0,0,0,0,1,8.00,0.00,0.00,0.00
Sachin Baby,2016,10,8,3,5,0,1,2,4,4,2,4.80,2.67,3.33,6.00
Sandeep Sharma,2013,96,130,8,41,4,2,2,51,24,4,8.13,16.25,12.00,12.75
Sandeep Sharma,2014,241,358,19,109,13,1,5,94,43,11,8.91,18.84,12.68,13.12
Sandeep Sharma,2015,300,359,13,142,7,3,3,69,42,14,7.18,27.62,23.08,9.86
Sandeep Sharma,2016,300,374,19,127,6,5,8,143,84,14,7.48,19.68,15.79,10.21
Sandeep Sharma,2017,288,402,17,115,9,0,8,152,84,13,8.38,23.65,16.94,10.86
Sandeep Sharma,2018,264,334,14,115,5,5,4,9,12,12,7.59,23.86,18.86,4.50
Sandeep Sharma,2019,256,355,13,79,1,4,8,95,76,11,8.32,27.31,19.69,7.50
Sandeep Sharma,2020/21,312,374,14,119,9,2,3,118,78,13,7.19,26.71,22.29,9.08
Sandeep Sharma,2021,141,204,3,51,0,2,1,30,9,7,8.68,68.00,47.00,20.00
Sandeep Sharma,2022,120,156,3,58,2,1,0,49,18,5,7.80,52.00,40.00,16.33
Sandeep Sharma,2023,276,398,15,94,2,1,12,144,90,12,8.65,26.53,18.40,9.60
Sandeep Sharma,2024,228,314,15,72,5,1,9,138,84,10,8.26,20.93,15.20,9.86
SB Bangar,2007/08,150,221,6,55,2,3,1,57,24,9,8.84,36.83,25.00,14.25
SB Jakati,2009,174,225,13,61,0,8,5,47,36,8,7.76,17.31,13.38,7.83
SB Jakati,2009/10,228,300,15,82,0,11,4,58,36,11,7.89,20.00,15.20,9.67
SB Jakati,2011,265,338,10,80,0,10,0,42,31,14,7.65,33.80,26.50,8.13
SB Jakati,2012,246,337,10,76,1,8,1,19,12,15,8.22,33.70,24.60,9.50
SB Jakati,2014,22,41,0,4,0,0,0,17,4,1,11.18,0.00,0.00,25.50
SB Jakati,2016,120,181,2,30,0,1,1,26,12,6,9.05,90.50,60.00,13.00
SB Jakati,2017,30,52,0,4,0,0,0,0,0,2,10.40,0.00,0.00,0.00
SB Joshi,2007/08,55,82,1,18,0,0,1,13,7,4,8.95,82.00,55.00,11.14
SB Styris,2007/08,162,201,4,61,1,0,3,85,48,8,7.44,50.25,40.50,10.63
SB Styris,2009,48,64,5,21,0,1,4,30,18,2,8.00,12.80,9.60,10.00
SB Styris,2011,6,13,0,1,0,0,0,0,0,1,13.00,0.00,0.00,0.00
SB Wagh,2009/10,6,16,1,2,1,0,0,0,0,1,16.00,16.00,6.00,0.00
SB Wagh,2011,96,131,4,43,3,0,1,27,12,7,8.19,32.75,24.00,13.50
SC Ganguly,2007/08,120,132,7,46,0,7,0,0,0,7,6.60,18.86,17.14,0.00
SC Ganguly,2009,72,98,2,17,0,2,0,0,0,6,8.17,49.00,36.00,0.00
SC Ganguly,2009/10,24,43,0,2,0,0,0,0,0,3,10.75,0.00,0.00,0.00
SC Ganguly,2012,60,97,3,10,0,3,0,33,12,4,9.70,32.33,20.00,16.50
SC Kuggeleijn,2019,48,71,2,17,0,0,2,33,24,2,8.88,35.50,24.00,8.25
SD Chitnis,2007/08,36,62,2,9,0,1,1,9,6,2,10.33,31.00,18.00,9.00
SE Bond,2009/10,186,225,9,75,4,3,2,87,54,8,7.26,25.00,20.67,9.67
SE Rutherford,2019,41,60,1,7,0,1,0,2,5,6,8.78,60.00,41.00,2.40
SH Johnson,2024,96,155,4,34,1,1,2,38,30,5,9.69,38.75,24.00,7.60
Shahbaz Ahmed,2020/21,36,45,2,8,0,1,1,6,6,2,7.50,22.50,18.00,6.00
Shahbaz Ahmed,2021,84,92,7,21,0,4,3,14,18,6,6.57,13.14,12.00,4.67
Shahbaz Ahmed,2022,210,341,4,56,0,4,0,0,0,14,9.74,85.25,52.50,0.00
Shahbaz Ahmed,2023,42,95,1,9,0,1,0,19,6,5,13.57,95.00,42.00,19.00
Shahbaz Ahmed,2024,165,277,7,48,2,5,0,0,0,15,10.07,39.57,23.57,0.00
Shahid Afridi,2007/08,180,237,9,57,1,6,2,59,36,10,7.90,26.33,20.00,9.83
Shakib Al Hasan,2011,153,177,11,59,1,6,4,35,27,7,6.94,16.09,13.91,7.78
Shakib Al Hasan,2012,180,203,12,68,2,4,6,61,48,8,6.77,16.92,15.00,7.63
Shakib Al Hasan,2014,300,339,15,113,3,9,3,57,36,13,6.78,22.60,20.00,9.50
Shakib Al Hasan,2015,84,123,5,34,2,2,1,54,24,4,8.79,24.60,16.80,13.50
Shakib Al Hasan,2016,186,247,5,58,3,2,0,46,30,9,7.97,49.40,37.20,9.20
Shakib Al Hasan,2017,18,34,0,5,0,0,0,0,0,1,11.33,0.00,0.00,0.00
Shakib Al Hasan,2018,342,458,16,96,5,11,0,41,24,17,8.04,28.63,21.38,10.25
Shakib Al Hasan,2019,65,95,2,22,1,1,0,18,5,3,8.77,47.50,32.50,21.60
Shakib Al Hasan,2021,156,188,5,49,2,3,0,0,0,8,7.23,37.60,31.20,0.00
Shashank Singh,2022,12,20,0,1,0,0,0,0,0,2,10.00,0.00,0.00,0.00
Shashank Singh,2024,6,5,1,1,0,1,0,0,0,1,5.00,5.00,6.00,0.00
Shivam Mavi,2018,168,273,7,61,1,3,3,96,42,9,9.75,39.00,24.00,13.71
Shivam Mavi,2020/21,156,214,9,61,4,2,3,67,42,8,8.23,23.78,17.33,9.57
Shivam Mavi,2021,193,242,12,85,3,4,5,82,49,9,7.52,20.17,16.08,10.04
Shivam Mavi,2022,132,229,5,47,1,0,4,107,54,6,10.41,45.80,26.40,11.89
Shivam Sharma,2014,96,121,3,34,0,3,0,26,18,4,7.56,40.33,32.00,8.67
Shivam Sharma,2015,18,44,1,3,0,1,0,12,6,1,14.67,44.00,18.00,12.00
Shoaib Ahmed,2009,102,154,5,33,1,4,0,42,18,7,9.06,30.80,20.40,14.00
Shoaib Akhtar,2007/08,42,54,5,23,5,0,0,0,0,3,7.71,10.80,8.40,0.00
Shoaib Malik,2007/08,51,87,2,15,0,1,1,25,15,5,10.24,43.50,25.50,10.00
Sikandar Raza,2023,73,124,3,19,0,3,0,0,0,6,10.19,41.33,24.33,0.00
Sikandar Raza,2024,12,22,0,2,0,0,0,0,0,1,11.00,0.00,0.00,0.00
Simarjeet Singh,2022,108,143,4,55,3,0,1,12,12,6,7.94,35.75,27.00,6.00
Simarjeet Singh,2024,72,122,6,27,0,5,1,35,18,4,10.17,20.33,12.00,11.67
SJ Srivastava,2009/10,162,257,6,54,4,1,1,42,24,8,9.52,42.83,27.00,10.50
SJ Srivastava,2011,120,187,9,49,1,3,5,46,30,6,9.35,20.78,13.33,9.20
SK Raina,2007/08,20,30,2,4,0,2,0,0,0,2,9.00,15.00,10.00,0.00
SK Raina,2009,166,169,8,57,1,5,2,44,30,10,6.11,21.13,20.75,8.80
SK Raina,2009/10,143,181,7,40,0,6,1,58,42,12,7.59,25.86,20.43,8.29
SK Raina,2011,165,209,5,62,0,1,4,55,33,12,7.60,41.80,33.00,10.00
SK Raina,2012,84,106,2,21,0,2,0,9,6,7,7.57,53.00,42.00,9.00
SK Raina,2013,12,23,1,2,0,1,0,0,0,2,11.50,23.00,12.00,0.00
SK Raina,2014,108,135,1,34,0,0,1,26,18,8,7.50,135.00,108.00,8.67
SK Raina,2015,72,94,3,24,0,3,0,0,0,5,7.83,31.33,24.00,0.00
SK Raina,2016,60,84,0,15,0,0,0,0,0,4,8.40,0.00,0.00,0.00
SK Raina,2017,72,102,1,20,1,0,0,0,0,6,8.50,102.00,72.00,0.00
SK Raina,2019,6,6,0,1,0,0,0,0,0,1,6.00,0.00,0.00,0.00
SK Trivedi,2007/08,288,407,15,102,1,8,6,64,48,15,8.48,27.13,19.20,8.00
SK Trivedi,2009,120,152,6,43,4,1,1,56,36,7,7.60,25.33,20.00,9.33
SK Trivedi,2009/10,213,266,13,69,1,7,5,89,57,10,7.49,20.46,16.38,9.37
SK Trivedi,2011,214,307,13,66,1,3,9,96,64,12,8.61,23.62,16.46,9.00
SK Trivedi,2012,312,387,14,90,0,11,3,107,66,14,7.44,27.64,22.29,9.73
SK Trivedi,2013,359,425,12,122,0,11,1,53,35,17,7.10,35.42,29.92,9.09
SK Warne,2007/08,312,409,20,107,0,15,5,107,54,15,7.87,20.45,15.60,11.89
SK Warne,2009,300,369,14,109,1,6,7,140,96,13,7.38,26.36,21.43,8.75
SK Warne,2009/10,300,389,12,93,0,9,3,47,30,14,7.78,32.42,25.00,9.40
SK Warne,2011,282,298,14,117,0,11,3,33,36,12,6.34,21.29,20.14,5.50
SL Malinga,2009,297,334,21,140,3,2,16,135,123,13,6.75,15.90,14.14,6.59
SL Malinga,2009/10,294,360,17,116,6,1,10,135,108,13,7.35,21.18,17.29,7.50
SL Malinga,2011,378,393,30,183,7,7,16,156,138,16,6.24,13.10,12.60,6.78
SL Malinga,2012,333,355,25,145,3,4,18,185,147,14,6.40,14.20,13.32,7.55
SL Malinga,2013,392,484,23,147,5,5,13,205,158,17,7.41,21.04,17.04,7.78
SL Malinga,2014,236,267,17,99,3,0,14,138,103,10,6.79,15.71,13.88,8.04
SL Malinga,2015,360,453,26,140,6,3,17,218,150,15,7.55,17.42,13.85,8.72
SL Malinga,2017,269,388,11,90,5,2,4,128,71,12,8.65,35.27,24.45,10.82
SL Malinga,2019,269,452,18,84,2,2,14,226,119,12,10.08,25.11,14.94,11.39
SM Boland,2016,42,56,3,14,1,0,2,24,18,2,8.00,18.67,14.00,8.00
SM Curran,2019,198,325,11,58,1,2,8,127,72,9,9.85,29.55,18.00,10.58
SM Curran,2020/21,252,348,14,87,4,2,8,140,78,13,8.29,24.86,18.00,10.77
SM Curran,2021,198,332,10,72,4,1,5,127,60,9,10.06,33.20,19.80,12.70
SM Curran,2023,287,497,11,80,0,3,8,177,101,14,10.39,45.18,26.09,10.51
SM Curran,2024,246,422,16,81,3,6,7,157,72,13,10.29,26.38,15.38,13.08
SM Harwood,2009,60,74,3,33,1,1,1,46,24,3,7.40,24.67,20.00,11.50
SM Pollock,2007/08,276,307,13,130,9,4,0,8,6,13,6.67,23.62,21.23,8.00
SMSM Senanayake,2013,192,211,9,73,4,3,2,34,24,8,6.59,23.44,21.33,8.50
SN Khan,2019,2,6,0,0,0,0,0,6,2,1,18.00,0.00,0.00,18.00
SN Thakur,2015,18,39,1,5,0,1,0,0,0,1,13.00,39.00,18.00,0.00
SN Thakur,2017,229,319,13,85,5,5,3,64,37,12,8.36,24.54,17.62,10.38
SN Thakur,2018,280,433,17,111,3,3,11,231,118,13,9.28,25.47,16.47,11.75
SN Thakur,2019,180,285,9,61,3,2,4,116,66,9,9.50,31.67,20.00,10.55
SN Thakur,2020/21,194,279,10,65,1,4,5,118,78,9,8.63,27.90,19.40,9.08
SN Thakur,2021,359,531,22,134,6,6,10,199,125,16,8.87,24.14,16.32,9.55
SN Thakur,2022,290,485,16,101,4,4,8,209,104,14,10.03,30.31,18.13,12.06
SN Thakur,2023,126,222,7,32,1,3,3,89,47,9,10.57,31.71,18.00,11.36
SN Thakur,2024,190,315,5,45,0,1,4,126,72,9,9.95,63.00,38.00,10.50
Sohail Tanvir,2007/08,247,275,24,121,6,0,18,122,103,11,6.68,11.46,10.29,7.11
SP Narine,2012,355,332,29,164,3,5,21,185,157,15,5.61,11.45,12.24,7.07
SP Narine,2013,384,353,26,180,3,7,16,167,150,16,5.52,13.58,14.77,6.68
SP Narine,2014,390,432,22,157,3,4,15,189,168,16,6.65,19.64,17.73,6.75
SP Narine,2015,192,246,7,74,2,2,3,113,60,8,7.69,35.14,27.43,11.30
SP Narine,2016,256,310,13,109,3,8,2,64,46,11,7.27,23.85,19.69,8.35
SP Narine,2017,354,412,12,133,3,6,3,72,72,15,6.98,34.33,29.50,6.00
