bowler,season,balls_bowled,runs_conceded,wickets,dot_balls,powerplay_wickets,middle_wickets,death_wickets,death_runs_conceded,death_balls,matches,economy,bowling_average,bowling_sr,death_economy
STR Binny,2011,24,44,0,1,0,0,0,14,6,3,11.00,0.00,0.00,14.00
STR Binny,2012,60,78,3,15,0,2,1,33,24,6,7.80,26.00,20.00,8.25
STR Binny,2013,144,163,7,57,0,5,2,39,24,14,6.79,23.29,20.57,9.75
STR Binny,2014,54,65,4,18,2,2,0,11,6,8,7.22,16.25,13.50,11.00
STR Binny,2015,114,143,8,56,3,5,0,0,0,10,7.53,17.88,14.25,0.00
STR Binny,2016,102,134,1,28,1,0,0,0,0,11,7.88,134.00,102.00,0.00
STR Binny,2017,36,50,4,9,2,2,0,0,0,4,8.33,12.50,9.00,0.00
STR Binny,2018,12,33,0,2,0,0,0,0,0,1,16.50,0.00,0.00,0.00
STR Binny,2019,42,44,1,13,0,1,0,0,0,5,6.29,44.00,42.00,0.00
Sumit Kumar,2024,20,38,0,4,0,0,0,8,2,2,11.40,0.00,0.00,24.00
Sunny Gupta,2012,18,47,0,0,0,0,0,0,0,1,15.67,0.00,0.00,0.00
Suyash Sharma,2023,234,330,11,80,3,7,1,68,36,11,8.46,30.00,21.27,11.33
Suyash Sharma,2024,24,51,0,5,0,0,0,0,0,2,12.75,0.00,0.00,0.00
SW Tait,2009/10,187,274,12,70,2,1,9,107,79,8,8.79,22.83,15.58,8.13
SW Tait,2011,89,137,6,42,3,0,3,40,24,4,9.24,22.83,14.83,10.00
SW Tait,2012,137,154,7,65,2,2,3,44,35,6,6.74,22.00,19.57,7.54
SW Tait,2013,60,103,1,23,0,1,0,25,12,3,10.30,103.00,60.00,12.50
Swapnil Singh,2016,18,29,0,3,0,0,0,0,0,1,9.67,0.00,0.00,0.00
Swapnil Singh,2017,42,61,1,7,0,1,0,0,0,4,8.71,61.00,42.00,0.00
Swapnil Singh,2023,12,18,0,2,0,0,0,0,0,2,9.00,0.00,0.00,0.00
Swapnil Singh,2024,90,133,6,27,5,1,0,0,0,7,8.87,22.17,15.00,0.00
SZ Mulani,2024,30,57,0,7,0,0,0,21,6,2,11.40,0.00,0.00,21.00
T Henderson,2009,36,41,1,14,0,1,0,28,18,2,6.83,41.00,36.00,9.33
T Natarajan,2017,76,116,2,24,0,2,0,16,10,6,9.16,58.00,38.00,9.60
T Natarajan,2020/21,377,520,19,123,5,2,12,265,155,16,8.28,27.37,19.84,10.26
T Natarajan,2021,48,70,2,13,0,0,2,32,24,2,8.75,35.00,24.00,8.00
T Natarajan,2022,258,410,20,78,6,2,12,210,114,11,9.53,20.50,12.90,11.05
T Natarajan,2023,270,416,13,72,2,0,11,219,132,12,9.24,32.00,20.77,9.95
T Natarajan,2024,308,469,20,108,4,5,11,192,116,14,9.14,23.45,15.40,9.93
T Shamsi,2016,96,151,3,26,0,2,1,42,18,4,9.44,50.33,32.00,14.00
T Shamsi,2021,24,34,0,2,0,0,0,0,0,1,8.50,0.00,0.00,0.00
T Stubbs,2023,12,14,1,3,0,1,0,5,6,1,7.00,14.00,12.00,5.00
T Stubbs,2024,12,15,3,6,0,3,0,0,0,2,7.50,5.00,4.00,0.00
T Thushara,2009,48,61,3,19,2,0,1,22,12,2,7.63,20.33,16.00,11.00
T Thushara,2009/10,87,103,7,38,1,1,5,58,33,4,7.10,14.71,12.43,10.55
TA Boult,2015,168,239,10,71,1,1,8,77,42,7,8.54,23.90,16.80,11.00
TA Boult,2016,24,39,1,11,1,0,0,26,12,1,9.75,39.00,24.00,13.00
TA Boult,2017,143,222,5,53,1,0,4,132,71,6,9.31,44.40,28.60,11.15
TA Boult,2018,316,476,20,111,6,3,11,183,112,14,9.04,23.80,15.80,9.80
TA Boult,2019,114,163,5,44,0,2,3,85,42,5,8.58,32.60,22.80,12.14
TA Boult,2020/21,348,473,26,156,16,2,8,191,110,15,8.16,18.19,13.38,10.42
TA Boult,2021,308,409,14,135,5,1,8,158,92,14,7.97,29.21,22.00,10.30
TA Boult,2022,372,501,18,170,11,4,3,131,60,16,8.08,27.83,20.67,13.10
TA Boult,2023,228,316,13,103,10,2,1,65,30,10,8.32,24.31,17.54,13.00
TA Boult,2024,320,448,16,132,12,0,4,95,56,15,8.40,28.00,20.00,10.18
Tejas Baroka,2017,21,33,0,6,0,0,0,9,3,1,9.43,0.00,0.00,18.00
TG Southee,2011,114,167,4,43,1,2,1,73,42,5,8.79,41.75,28.50,10.43
TG Southee,2014,60,78,0,25,0,0,0,27,18,3,7.80,0.00,0.00,9.00
TG Southee,2015,168,255,9,66,5,1,3,116,54,7,9.11,28.33,18.67,12.89
TG Southee,2016,258,333,9,99,4,3,2,57,36,11,7.74,37.00,28.67,9.50
TG Southee,2017,60,97,3,21,1,1,1,21,12,3,9.70,32.33,20.00,10.50
TG Southee,2018,174,263,8,57,2,0,6,115,66,8,9.07,32.88,21.75,10.45
TG Southee,2019,54,123,1,17,1,0,0,40,12,3,13.67,123.00,54.00,20.00
TG Southee,2021,72,95,5,23,1,0,4,38,30,3,7.92,19.00,14.40,7.60
TG Southee,2022,210,284,16,84,5,3,8,120,72,9,8.11,17.75,13.13,10.00
TG Southee,2023,36,79,2,12,1,1,0,15,6,2,13.17,39.50,18.00,15.00
Tilak Varma,2022,12,13,0,5,0,0,0,0,0,2,6.50,0.00,0.00,0.00
Tilak Varma,2023,6,7,0,3,0,0,0,0,0,1,7.00,0.00,0.00,0.00
Tilak Varma,2024,4,8,0,0,0,0,0,8,4,1,12.00,0.00,0.00,12.00
TK Curran,2018,61,118,6,15,1,1,4,42,24,5,11.61,19.67,10.17,10.50
TK Curran,2020/21,109,210,3,23,0,1,2,127,61,5,11.56,70.00,36.33,12.49
TK Curran,2021,68,104,4,19,0,3,1,64,26,3,9.18,26.00,17.00,14.77
TL Suman,2009,90,108,6,31,0,4,2,32,18,5,7.20,18.00,15.00,10.67
TL Suman,2009/10,12,24,0,2,0,0,0,16,6,2,12.00,0.00,0.00,16.00
TL Suman,2011,36,50,0,7,0,0,0,0,0,3,8.33,0.00,0.00,0.00
TL Suman,2013,12,16,1,3,0,1,0,0,0,1,8.00,16.00,12.00,0.00
TM Dilshan,2007/08,6,3,1,3,0,1,0,0,0,1,3.00,3.00,6.00,0.00
TM Dilshan,2009,96,99,0,33,0,0,0,0,0,8,6.19,0.00,0.00,0.00
TM Dilshan,2009/10,49,70,3,18,0,2,1,22,19,4,8.57,23.33,16.33,6.95
TM Dilshan,2011,72,108,1,16,0,1,0,9,6,6,9.00,108.00,72.00,9.00
TM Dilshan,2012,42,78,0,9,0,0,0,0,0,5,11.14,0.00,0.00,0.00
TM Dilshan,2013,6,10,0,0,0,0,0,0,0,1,10.00,0.00,0.00,0.00
TM Head,2017,48,81,3,7,0,0,3,27,18,5,10.13,27.00,16.00,9.00
TM Head,2024,10,32,0,2,0,0,0,0,0,1,19.20,0.00,0.00,0.00
TP Sudhindra,2012,70,137,1,18,0,1,0,50,22,3,11.74,137.00,70.00,13.64
TS Mills,2017,107,157,5,41,3,0,2,61,41,5,8.80,31.40,21.40,8.93
TS Mills,2022,102,192,6,28,3,1,2,49,24,5,11.29,32.00,17.00,12.25
TU Deshpande,2020/21,102,193,3,28,1,1,1,45,24,5,11.35,64.33,34.00,11.25
TU Deshpande,2022,42,67,1,17,0,1,0,0,0,2,9.57,67.00,42.00,0.00
TU Deshpande,2023,342,580,24,128,8,3,13,301,138,16,10.18,24.17,14.25,13.09
TU Deshpande,2024,288,435,18,111,6,1,11,163,96,13,9.06,24.17,16.00,10.19
Umar Gul,2007/08,135,198,14,51,5,4,5,88,45,6,8.80,14.14,9.64,11.73
Umran Malik,2021,72,96,2,31,0,2,0,24,12,3,8.00,48.00,36.00,12.00
Umran Malik,2022,296,455,23,131,0,17,6,48,37,14,9.22,19.78,12.87,7.78
Umran Malik,2023,120,219,6,41,0,5,1,55,24,8,10.95,36.50,20.00,13.75
Umran Malik,2024,6,15,0,2,0,0,0,0,0,1,15.00,0.00,0.00,0.00
UT Yadav,2009/10,144,192,8,55,1,4,3,48,36,7,8.00,24.00,18.00,8.00
UT Yadav,2011,108,172,3,36,0,3,0,18,12,6,9.56,57.33,36.00,9.00
UT Yadav,2012,366,459,22,145,4,7,11,200,138,17,7.52,20.86,16.64,8.70
UT Yadav,2013,353,533,20,127,4,1,15,251,144,16,9.06,26.65,17.65,10.46
UT Yadav,2014,270,381,12,95,5,2,5,139,78,12,8.47,31.75,22.50,10.69
UT Yadav,2015,252,387,12,92,4,1,7,153,90,12,9.21,32.25,21.00,10.20
UT Yadav,2016,156,246,12,46,3,0,9,110,54,9,9.46,20.50,13.00,12.22
UT Yadav,2017,291,432,18,117,7,4,7,94,48,14,8.91,24.00,16.17,11.75
UT Yadav,2018,319,424,20,142,14,5,1,87,37,14,7.97,21.20,15.95,14.11
UT Yadav,2019,227,375,9,87,4,1,4,132,59,11,9.91,41.67,25.22,13.42
UT Yadav,2020/21,43,86,1,13,1,0,0,0,0,2,12.00,86.00,43.00,0.00
UT Yadav,2022,288,354,16,135,8,7,1,36,18,12,7.38,22.13,18.00,12.00
UT Yadav,2023,114,190,1,41,0,1,0,13,6,8,10.00,190.00,114.00,13.00
UT Yadav,2024,126,211,9,55,6,1,2,31,12,7,10.05,23.44,14.00,15.50
V Kaverappa,2024,24,36,2,11,2,0,0,0,0,1,9.00,18.00,12.00,0.00
V Kohli,2007/08,46,62,2,7,0,1,1,9,6,4,8.09,31.00,23.00,9.00
V Kohli,2009,36,46,0,10,0,0,0,0,0,3,7.67,0.00,0.00,0.00
V Kohli,2009/10,32,51,0,7,0,0,0,1,2,4,9.56,0.00,0.00,3.00
V Kohli,2011,102,140,2,23,0,2,0,18,12,10,8.24,70.00,51.00,9.00
V Kohli,2012,18,49,0,2,0,0,0,28,6,2,16.33,0.00,0.00,28.00
V Kohli,2015,11,10,1,2,0,1,0,0,0,2,5.45,10.00,11.00,0.00
V Kohli,2016,6,13,0,1,0,0,0,0,0,1,13.00,0.00,0.00,0.00
V Pratap Singh,2012,204,300,12,71,3,3,6,71,42,9,8.82,25.00,17.00,10.14
V Sehwag,2007/08,66,134,3,18,0,2,1,37,12,7,12.18,44.67,22.00,18.50
V Sehwag,2009,6,25,0,1,0,0,0,0,0,1,25.00,0.00,0.00,0.00
V Sehwag,2009/10,34,23,3,18,0,2,1,2,4,3,4.06,7.67,11.33,3.00
V Sehwag,2012,24,45,0,7,0,0,0,11,6,3,11.25,0.00,0.00,11.00
V Sehwag,2013,6,9,0,0,0,0,0,0,0,1,9.00,0.00,0.00,0.00
V Shankar,2014,6,19,0,1,0,0,0,0,0,1,19.00,0.00,0.00,0.00
V Shankar,2018,30,58,1,8,0,1,0,0,0,4,11.60,58.00,30.00,0.00
V Shankar,2019,48,70,2,14,0,1,1,29,18,5,8.75,35.00,24.00,9.67
V Shankar,2020/21,79,82,4,31,0,3,1,8,6,5,6.23,20.50,19.75,8.00
V Shankar,2021,66,100,4,22,0,3,1,28,18,5,9.09,25.00,16.50,9.33
V Shankar,2022,9,15,1,4,0,1,0,1,3,2,10.00,15.00,9.00,2.00
V Viyaskanth,2024,60,90,1,16,0,1,0,0,0,3,9.00,90.00,60.00,0.00
VG Arora,2022,107,165,4,38,3,0,1,29,11,5,9.25,41.25,26.75,15.82
VG Arora,2023,96,149,5,30,0,2,3,68,36,5,9.31,29.80,19.20,11.33
VG Arora,2024,181,284,11,76,9,0,2,33,24,10,9.41,25.82,16.45,8.25
Vijaykumar Vyshak,2023,144,253,11,40,2,5,4,75,36,7,10.54,23.00,13.09,12.50
Vijaykumar Vyshak,2024,87,143,6,23,0,3,3,21,9,4,9.86,23.83,14.50,14.00
Vivrant Sharma,2023,18,37,0,5,0,0,0,0,0,2,12.33,0.00,0.00,0.00
VR Aaron,2011,72,83,2,31,1,1,0,28,18,3,6.92,41.50,36.00,9.33
VR Aaron,2012,186,279,9,73,5,2,2,114,54,8,9.00,31.00,20.67,12.67
VR Aaron,2014,220,309,16,90,4,6,6,114,58,10,8.43,19.31,13.75,11.79
VR Aaron,2015,104,180,4,44,0,2,2,24,8,5,10.38,45.00,26.00,18.00
VR Aaron,2016,142,229,2,48,0,1,1,38,16,8,9.68,114.50,71.00,14.25
VR Aaron,2017,120,170,7,51,2,3,2,42,30,6,8.50,24.29,17.14,8.40
VR Aaron,2019,72,128,4,25,2,0,2,23,12,5,10.67,32.00,18.00,11.50
VR Aaron,2020/21,48,96,0,19,0,0,0,14,6,3,12.00,0.00,0.00,14.00
VR Aaron,2022,30,53,2,6,1,0,1,9,6,2,10.60,26.50,15.00,9.00
VR Iyer,2021,51,71,3,12,0,1,2,31,21,4,8.35,23.67,17.00,8.86
VR Iyer,2022,24,46,0,3,0,0,0,24,12,4,11.50,0.00,0.00,12.00
VR Iyer,2024,6,28,0,0,0,0,0,0,0,1,28.00,0.00,0.00,0.00
VRV Singh,2007/08,288,425,15,94,1,4,10,133,90,13,8.85,28.33,19.20,8.87
VRV Singh,2009,54,83,1,16,0,0,1,15,12,4,9.22,83.00,54.00,7.50
VRV Singh,2009/10,18,41,0,4,0,0,0,15,6,1,13.67,0.00,0.00,15.00
VS Malik,2009,72,100,2,28,2,0,0,8,6,5,8.33,50.00,36.00,8.00
VS Malik,2009/10,43,66,1,16,0,1,0,4,1,3,9.21,66.00,43.00,24.00
VS Malik,2011,12,14,0,3,0,0,0,0,0,1,7.00,0.00,0.00,0.00
VS Malik,2013,60,59,2,30,2,0,0,0,0,3,5.90,29.50,30.00,0.00
VS Malik,2014,18,29,1,7,0,1,0,0,0,1,9.67,29.00,18.00,0.00
VS Yeligati,2007/08,30,61,0,6,0,0,0,13,6,2,12.20,0.00,0.00,13.00
VY Mahesh,2007/08,253,380,17,94,3,4,10,70,55,11,9.01,22.35,14.88,7.64
VY Mahesh,2009,12,25,1,3,1,0,0,0,0,1,12.50,25.00,12.00,0.00
VY Mahesh,2009/10,18,23,1,5,0,0,1,1,6,1,7.67,23.00,18.00,1.00
VY Mahesh,2012,56,83,3,18,0,3,0,10,2,4,8.89,27.67,18.67,30.00
WA Mota,2007/08,18,36,1,3,0,1,0,0,0,2,12.00,36.00,18.00,0.00
WA Mota,2009,54,62,3,21,0,2,1,48,24,5,6.89,20.67,18.00,12.00
Washington Sundar,2017,180,189,9,81,5,3,1,6,6,10,6.30,21.00,20.00,6.00
Washington Sundar,2018,120,194,4,27,0,4,0,5,6,7,9.70,48.50,30.00,5.00
Washington Sundar,2019,54,75,4,20,0,3,1,4,6,3,8.33,18.75,13.50,4.00
Washington Sundar,2020/21,300,300,9,112,4,3,2,25,18,15,6.00,33.33,33.33,8.33
Washington Sundar,2021,96,119,3,31,1,2,0,0,0,6,7.44,39.67,32.00,0.00
Washington Sundar,2022,168,239,6,47,3,3,0,52,18,8,8.54,39.83,28.00,17.33
Washington Sundar,2023,106,146,3,35,0,3,0,13,10,7,8.26,48.67,35.33,7.80
Washington Sundar,2024,30,73,1,3,1,0,0,0,0,2,14.60,73.00,30.00,0.00
WD Parnell,2011,176,222,10,75,3,0,7,76,62,8,7.57,22.20,17.60,7.35
WD Parnell,2012,126,133,7,51,2,0,5,60,54,6,6.33,19.00,18.00,6.67
WD Parnell,2013,89,141,7,33,3,1,3,71,35,4,9.51,20.14,12.71,12.17
WD Parnell,2014,181,235,7,82,2,1,4,82,55,8,7.79,33.57,25.86,8.95
WD Parnell,2023,151,237,9,55,6,1,2,48,25,7,9.42,26.33,16.78,11.52
WG Jacks,2024,54,100,2,11,1,1,0,0,0,5,11.11,50.00,27.00,0.00
WPUJC Vaas,2007/08,102,146,6,41,5,0,1,42,18,5,8.59,24.33,17.00,14.00
WPUJC Vaas,2009,48,71,5,24,3,1,1,28,12,2,8.88,14.20,9.60,14.00
WPUJC Vaas,2009/10,132,147,11,63,9,0,2,26,18,6,6.68,13.36,12.00,8.67
Y Gnaneswara Rao,2011,6,7,0,3,0,0,0,0,0,1,7.00,0.00,0.00,0.00
Y Nagar,2009,12,20,2,3,0,2,0,0,0,1,10.00,10.00,6.00,0.00
Y Nagar,2009/10,18,28,1,7,0,1,0,0,0,1,9.33,28.00,18.00,0.00
Y Nagar,2011,30,67,1,5,0,1,0,0,0,5,13.40,67.00,30.00,0.00
Y Nagar,2012,6,10,0,1,0,0,0,0,0,1,10.00,0.00,0.00,0.00
Y Prithvi Raj,2019,30,57,1,8,0,1,0,0,0,2,11.40,57.00,30.00,0.00
Y Venugopal Rao,2007/08,84,137,3,22,1,2,0,0,0,7,9.79,45.67,28.00,0.00
Y Venugopal Rao,2009,90,123,4,27,0,3,1,53,24,6,8.20,30.75,22.50,13.25
Y Venugopal Rao,2009/10,6,10,0,1,0,0,0,0,0,1,10.00,0.00,0.00,0.00
Y Venugopal Rao,2011,12,26,0,3,0,0,0,0,0,2,13.00,0.00,0.00,0.00
Y Venugopal Rao,2012,12,26,0,3,0,0,0,0,0,2,13.00,0.00,0.00,0.00
Y Venugopal Rao,2014,12,16,0,3,0,0,0,0,0,2,8.00,0.00,0.00,0.00
YA Abdulla,2009,168,244,14,75,7,1,6,92,48,9,8.71,17.43,12.00,11.50
YA Abdulla,2009/10,41,67,1,13,0,1,0,24,11,2,9.80,67.00,41.00,13.09
Yash Dayal,2022,192,296,13,76,5,3,5,80,54,9,9.25,22.77,14.77,8.89
Yash Dayal,2023,84,165,2,24,1,1,0,54,18,5,11.79,82.50,42.00,18.00
Yash Dayal,2024,302,472,16,116,7,0,9,155,92,14,9.38,29.50,18.88,10.11
Yash Thakur,2023,191,297,15,63,2,3,10,139,83,9,9.33,19.80,12.73,10.05
Yash Thakur,2024,213,405,12,65,5,2,5,178,83,10,11.41,33.75,17.75,12.87
YBK Jaiswal,2022,1,6,0,0,0,0,0,6,1,1,36.00,0.00,0.00,36.00
YK Pathan,2007/08,169,233,10,59,4,6,0,35,13,13,8.27,23.30,16.90,16.15
YK Pathan,2009,210,248,7,83,5,0,2,26,18,11,7.09,35.43,30.00,8.67
YK Pathan,2009/10,204,254,6,60,2,2,2,26,24,11,7.47,42.33,34.00,6.50
YK Pathan,2011,234,244,13,93,3,10,0,10,12,14,6.26,18.77,18.00,5.00
YK Pathan,2012,132,184,4,46,1,3,0,0,0,12,8.36,46.00,33.00,0.00
YK Pathan,2013,54,74,1,14,0,1,0,17,6,5,8.22,74.00,54.00,17.00
YK Pathan,2014,6,10,0,1,0,0,0,0,0,1,10.00,0.00,0.00,0.00
YK Pathan,2015,60,100,2,12,0,2,0,13,6,5,10.00,50.00,30.00,13.00
Yuvraj Singh,2011,174,193,9,61,0,7,2,39,24,13,6.66,21.44,19.33,9.75
Yuvraj Singh,2013,132,152,6,39,0,6,0,0,0,10,6.91,25.33,22.00,0.00
Yuvraj Singh,2014,136,191,6,33,0,6,0,52,34,10,8.43,31.83,22.67,9.18
Yuvraj Singh,2015,54,75,1,11,0,1,0,13,6,6,8.33,75.00,54.00,13.00
Yuvraj Singh,2016,37,52,0,7,0,0,0,6,1,5,8.43,0.00,0.00,36.00
Yuvraj Singh,2017,12,23,2,2,0,2,0,0,0,2,11.50,11.50,6.00,0.00
Yuvraj Singh,2018,12,23,0,0,0,0,0,0,0,2,11.50,0.00,0.00,0.00
Z Khan,2007/08,252,369,15,100,9,1,5,92,60,11,8.79,24.60,16.80,9.20
Z Khan,2009,126,144,7,49,3,2,2,49,36,6,6.86,20.57,18.00,8.17
Z Khan,2009/10,290,388,18,107,6,3,9,139,92,14,8.03,21.56,16.11,9.07
Z Khan,2011,354,465,15,141,7,1,7,174,120,15,7.88,31.00,23.60,8.70
Z Khan,2012,360,468,21,146,8,0,13,203,138,15,7.80,22.29,17.14,8.83
Z Khan,2013,36,47,5,18,3,2,0,0,0,2,7.83,9.40,7.20,0.00
Z Khan,2014,134,156,6,56,5,0,1,47,32,6,6.99,26.00,22.33,8.81
Z Khan,2015,145,159,8,73,6,0,2,59,36,7,6.58,19.88,18.13,9.83
Z Khan,2016,262,341,12,111,5,3,4,118,63,12,7.81,28.42,21.83,11.24
Z Khan,2017,241,323,12,72,6,3,3,65,30,11,8.04,26.92,20.08,13.00
